latitude,longitude,name,groupclust
52.361111000,4.948330000,T012,1
52.361766000,4.948806000,T018,1
52.361714000,4.949936000,T030,1
52.360679000,4.951471000,T061,1
52.359268000,4.952588000,T075,1
52.358883000,4.949587000,T089,1
52.358410000,4.950218000,T112,1
52.359825000,4.952364000,T140,1
52.361648000,4.949988000,T156,1
52.361193000,4.948267000,T169,1
52.359792000,4.952399000,T138,2b
52.359501000,4.952678000,T073,2b
52.358571000,4.950453000,T114,2b
52.358577000,4.949713000,T108,2b
52.358618000,4.948512000,T099,2b
52.359574000,4.948138000,T184,2b
52.360033000,4.948130000,T006,2b
52.361613000,4.950132000,T155,2b
52.361641000,4.949884000,T031,2b
52.361961000,4.949394000,T021,2b
52.361173000,4.948251000,T013,3a
52.359888000,4.951837000,T063,3a
52.359156000,4.952335000,T079,3a
52.358475000,4.948994000,T103,3a
52.358557000,4.949622000,T107,3a
52.359819000,4.952137000,T141,3a
52.361788000,4.949547000,T157,3a
52.362084000,4.948785000,T161,3a
52.360331000,4.948146000,T175,3a
52.359878000,4.947994000,T180,3a
52.359609000,4.952045000,T067,4b
52.359709000,4.951894000,T065,4b
52.359509000,4.952431000,T070,4b
52.358872000,4.949393000,T090,4b
52.358753000,4.949760000,T110,4b
52.361196000,4.948293000,T168,4b
52.361104000,4.948251000,T011,4b
52.360590000,4.948179000,T008,4b
52.361687000,4.950059000,T032,4b
52.361606000,4.949773000,T023,4b
