latitude,longitude,name,groupuni
52.358678000,4.947706000,T001,3a
52.360033000,4.948130000,T006,2b
52.36105250488189,4.948158816666667,T012,1
52.361766000,4.948806000,T018,1
52.361961000,4.949394000,T021,2b
52.361134000,4.949014000,T026,4b
52.360967000,4.948796000,T028,3a
52.361714000,4.949936000,T030,1
52.361531437165354,4.94974874030303,T031,2b
52.361520000,4.950990000,T038,4b
52.361316000,4.951009000,T040,3a
52.360758000,4.950999000,T047,4b
52.360519000,4.951298000,T049,3a
52.361052000,4.951479000,T059,4b
52.360679000,4.951471000,T061,1
52.359501000,4.952678000,T073,2b
52.359268000,4.952588000,T075,1
52.359477000,4.950839000,T084,3a
52.358883000,4.949587000,T089,1
52.359362000,4.948459000,T098,4b
52.358618000,4.948512000,T099,2b
52.358577000,4.949713000,T108,2b
52.358410000,4.950218000,T112,1
52.358571000,4.950453000,T114,2b
52.358369000,4.951124000,T119,3a
52.358566000,4.952018000,T127,4b
52.358727000,4.952206000,T129,3a
52.358651000,4.952512000,T136,4b
52.359792000,4.952399000,T138,2b
52.359825000,4.952364000,T140,1
52.360735000,4.951497000,T145,3a
52.361297000,4.951345000,T152,4b
52.361293000,4.951167000,T154,3a
52.361613000,4.950132000,T155,2b
52.361648000,4.949988000,T156,1
52.361193000,4.948267000,T169,1
52.359574000,4.948138000,T184,2b
52.359072000,4.948354000,T190,4b
52.358971000,4.948070000,T194,3a
52.359448000,4.949360000,T207,4b
