latitude,longitude,name,groupclust
52.359825000,4.952364000,T140,1
52.359268000,4.952588000,T075,1
52.360679000,4.951471000,T061,1
52.358410000,4.950218000,T112,1
52.358883000,4.949587000,T089,1
52.361193000,4.948267000,T169,1
52.361111000,4.948330000,T012,1
52.361648000,4.949988000,T156,1
52.361714000,4.949936000,T030,1
52.361766000,4.948806000,T018,1
52.359597000,4.952400000,T069,4
52.359650000,4.951925000,T066,4
52.358534000,4.948697000,T101,4
52.358508000,4.948859000,T102,4
52.359848000,4.947902000,T182,4
52.360018000,4.948134000,T179,4
52.361003000,4.948183000,T172,4
52.361669000,4.948809000,T162,4
52.362085000,4.949189000,T158,4
52.362022000,4.949242000,T020,4
52.359326000,4.952038000,T081,2a
52.359179000,4.952200000,T080,2a
52.358510000,4.948228000,T199,2a
52.358563000,4.949287000,T105,2a
52.358490000,4.949219000,T104,2a
52.359597000,4.948084000,T183,2a
52.359884000,4.947896000,T181,2a
52.361166000,4.948338000,T170,2a
52.361497000,4.949752000,T024,2a
52.361809000,4.949641000,T022,2a
52.359819000,4.952137000,T141,3a
52.359156000,4.952335000,T079,3a
52.359888000,4.951837000,T063,3a
52.358557000,4.949622000,T107,3a
52.358475000,4.948994000,T103,3a
52.359878000,4.947994000,T180,3a
52.360331000,4.948146000,T175,3a
52.361173000,4.948251000,T013,3a
52.362084000,4.948785000,T161,3a
52.361788000,4.949547000,T157,3a
