latitude,longitude,name,groupclust
52.359741000,4.948029000,T005,4d
52.361111000,4.948330000,T012,1
52.361173000,4.948251000,T013,3a
52.361766000,4.948806000,T018,1
52.361809000,4.949641000,T022,2a
52.361606000,4.949773000,T023,4b
52.361497000,4.949752000,T024,2a
52.361714000,4.949936000,T030,1
52.361687000,4.950059000,T032,4b
52.360679000,4.951471000,T061,1
52.359888000,4.951837000,T063,3a
52.359709000,4.951894000,T065,4b
52.359556000,4.952730000,T072,4c
52.359268000,4.952588000,T075,1
52.359156000,4.952335000,T079,3a
52.359179000,4.952200000,T080,2a
52.359326000,4.952038000,T081,2a
52.358883000,4.949587000,T089,1
52.358872000,4.949393000,T090,4b
52.358534000,4.948697000,T101,4a
52.358475000,4.948994000,T103,3a
52.358490000,4.949219000,T104,2a
52.358563000,4.949287000,T105,2a
52.358557000,4.949622000,T107,3a
52.358410000,4.950218000,T112,1
52.359825000,4.952364000,T140,1
52.359819000,4.952137000,T141,3a
52.359883000,4.952165000,T142,4c
52.361648000,4.949988000,T156,1
52.361788000,4.949547000,T157,3a
52.362187000,4.948951000,T160,4c
52.362084000,4.948785000,T161,3a
52.361193000,4.948267000,T169,1
52.361166000,4.948338000,T170,2a
52.360780000,4.948294000,T173,4e
52.360331000,4.948146000,T175,3a
52.359878000,4.947994000,T180,3a
52.359884000,4.947896000,T181,2a
52.359597000,4.948084000,T183,2a
52.358510000,4.948228000,T199,2a
