latitude,longitude,name,groupuni
52.358678000,4.947706000,T001,3a
52.361111000,4.948330000,T012,1
52.361259000,4.948502000,T014,4e
52.361766000,4.948806000,T018,1
52.361809000,4.949641000,T022,2a
52.361497000,4.949752000,T024,2a
52.360967000,4.948796000,T028,3a
52.361714000,4.949936000,T030,1
52.361316000,4.951009000,T040,3a
52.360519000,4.951298000,T049,3a
52.360526000,4.951509000,T053,4e
52.360679000,4.951471000,T061,1
52.359268000,4.952588000,T075,1
52.359179000,4.952200000,T080,2a
52.359326000,4.952038000,T081,2a
52.359477000,4.950839000,T084,3a
52.359068000,4.949984000,T087,4e
52.358883000,4.949587000,T089,1
52.358988000,4.948337000,T095,4e
52.358490000,4.949219000,T104,2a
52.358563000,4.949287000,T105,2a
52.358410000,4.950218000,T112,1
52.358369000,4.951124000,T119,3a
52.358422000,4.951437000,T123,4e
52.358727000,4.952206000,T129,3a
52.359825000,4.952364000,T140,1
52.360735000,4.951497000,T145,3a
52.360991000,4.951659000,T150,4e
52.361293000,4.951167000,T154,3a
52.361648000,4.949988000,T156,1
52.361193000,4.948267000,T169,1
52.361166000,4.948338000,T170,2a
52.359884000,4.947896000,T181,2a
52.359597000,4.948084000,T183,2a
52.359263000,4.948273000,T188,4e
52.358971000,4.948070000,T194,3a
52.358510000,4.948228000,T199,2a
52.359290000,4.948788000,T204,4e
52.360001000,4.950353000,T209,4e
52.359911000,4.948694000,T212,4e
