latitude,longitude,name,groupclust,,,,,,,,,
52.360090000,4.948132000,T007,3b,,,,,,,,,
52.360775000,4.948261000,T010,4c,,,,,,,,,
52.361111000,4.948330000,T012,1,,,,,,,,,
52.361766000,4.948806000,T018,1,,,,,,,,,
52.362055000,4.949003000,T019,4c,,,,,,,,,
52.361809000,4.949641000,T022,2a,,,,,,,,,
52.361497000,4.949752000,T024,2a,,,,,,,,,
52.361312000,4.949752000,T025,3b,,,,,,,,,
52.361714000,4.949936000,T030,1,,,,,,,,,
52.360679000,4.951471000,T061,1,,,,,,,,,
52.359546000,4.952013000,T068,3b,,,,,,,,,
52.359556000,4.952730000,T072,4c,,,,,,,,,
52.359268000,4.952588000,T075,1,,,,,,,,,
52.359132000,4.952473000,T077,3b,,,,,,,,,
52.359069000,4.952401000,T078,4c,,,,,,,,,
52.359179000,4.952200000,T080,2a,,,,,,,,,
52.359326000,4.952038000,T081,2a,,,,,,,,,
52.358883000,4.949587000,T089,1,,,,,,,,,
52.358615000,4.948601000,T100,4c,,,,,,,,,
52.358490000,4.949219000,T104,2a,,,,,,,,,
52.358563000,4.949287000,T105,2a,,,,,,,,,
52.358578000,4.949506000,T106,4c,,,,,,,,,
52.358714000,4.949672000,T109,3b,,,,,,,,, 
52.358542000,4.950116000,T111,4c,,,,,,,,,
52.358410000,4.950218000,T112,1,,,,,,,,,
52.358708000,4.950337000,T115,3b,,,,,,,,,
52.359783000,4.952448000,T139,3b,,,,,,,,,
52.359825000,4.952364000,T140,1,,,,,,,,,
52.359883000,4.952165000,T142,4c,,,,,,,,,
52.361648000,4.949988000,T156,1,,,,,,,,,
52.362187000,4.948951000,T160,4c,,,,,,,,,
52.361731000,4.948731000,T163,3b,,,,,,,,,
52.361193000,4.948267000,T169,1,,,,,,,,,
52.361166000,4.948338000,T170,2a,,,,,,,,,
52.360219000,4.947998000,T176,3b,,,,,,,,,
52.360147000,4.948148000,T177,4c,,,,,,,,,
52.360113000,4.947982000,T178,3b,,,,,,,,,
52.359884000,4.947896000,T181,2a,,,,,,,,,
52.359597000,4.948084000,T183,2a,,,,,,,, ,
52.358510000,4.948228000,T199,2a,,,,,,,,,
