latitude,longitude,name,groupuni,,,,,,
52.36105250488189,4.948158816666667,T012,1,,,,,,
52.361766000,4.948806000,T018,1,,,,,,
52.361714000,4.949936000,T030,1,,,,,,
52.360679000,4.951471000,T061,1,,,,,,
52.359268000,4.952588000,T075,1,,,,,,
52.358883000,4.949587000,T089,1,,,,,,
52.358410000,4.950218000,T112,1,,,,,,
52.359825000,4.952364000,T140,1,,,,,,
52.361648000,4.949988000,T156,1,,,,,,
52.361193000,4.948267000,T169,1,,,,,,
52.361809000,4.949641000,T022,2a,,,,,,
52.361497000,4.949752000,T024,2a,,,,,,
52.359179000,4.952200000,T080,2a,,,,,,
52.359326000,4.952038000,T081,2a,,,,,,
52.358490000,4.949219000,T104,2a,,,,,,
52.358563000,4.949287000,T105,2a,,,,,,
52.361166000,4.948338000,T170,2a,,,,,,
52.359884000,4.947896000,T181,2a,,,,,,
52.359597000,4.948084000,T183,2a,,,,,,
52.358510000,4.948228000,T199,2a,,,,,,
52.359166000,4.948757000,T203,3b,,,,,,
52.359478000,4.948727000,T187,3b,,,,,,
52.361077000,4.951539000,T149,3b,,,,,,
52.358772000,4.952522000,T133,3b,,,,,,
52.358437000,4.951674000,T124,3b,,,,,,
52.358931000,4.948384000,T094,3b,,,,,,
52.360782000,4.951335000,T056,3b,,,,,,
52.360867000,4.950500000,T044,3b,,,,,,
52.361510000,4.950674000,T035,3b,,,,,,
52.361237000,4.948663000,T015,3b,,,,,,
52.358953000,4.948130000,T193,4c,,,,,,
52.361676000,4.948360000,T165,4c,,,,,,
52.360812000,4.951506000,T148,4c,,,,,,
52.358810000,4.952493000,T132,4c,,,,,,
52.358480000,4.952014000,T126,4c,,,,,,
52.359620000,4.951198000,T083,4c,,,,,,
52.359962000,4.950906000,T051,4c,,,,,,
52.360989000,4.950587000,T043,4c,,,,,,
52.361542000,4.950316000,T034,4c,,,,,,
52.361487000,4.948942000,T017,4c,,,,,,
