latitude,longitude,treeid,name,groupuni,groupclust,cluster,strategy,d1,d2,d3,d4,d5
52.358678000,4.947706000,1,T001,3a,,0,3a,1,1,0,0,0
52.358907000,4.947552000,2,T002,,,0,0,0,0,0,0,0
52.359251000,4.947890000,3,T003,4a,,0,4a,1,0,0,0,0
52.359539000,4.948297000,4,T004,4d,,0,4d,0,0,0,1,0
52.361259000,4.948502000,14,T014,4e,,0,4e,0,0,0,0,1
52.361237000,4.948663000,15,T015,3b,,0,3b,0,0,1,1,0
52.361401000,4.948812000,16,T016,,,0,0,0,0,0,0,0
52.361487000,4.948942000,17,T017,4c,,0,4c,0,0,1,0,0
52.361134000,4.949014000,26,T026,4b,,0,4b,0,1,0,0,0
52.361245000,4.948956000,27,T027,4d,,0,4d,0,0,0,1,0
52.360967000,4.948796000,28,T028,3a,,0,3a,1,1,0,0,0
52.360846000,4.948705000,29,T029,,,0,0,0,0,0,0,0
52.361579000,4.950311000,33,T033,4a,,0,4a,1,0,0,0,0
52.361542000,4.950316000,34,T034,4c,,0,4c,0,0,1,0,0
52.361510000,4.950674000,35,T035,3b,,0,3b,0,0,1,1,0
52.361457000,4.950682000,36,T036,,,0,0,0,0,0,0,0
52.361419000,4.950917000,37,T037,4d,,0,4d,0,0,0,1,0
52.361520000,4.950990000,38,T038,4b,,0,4b,0,1,0,0,0
52.361324000,4.951052000,39,T039,,,0,0,0,0,0,0,0
52.361316000,4.951009000,40,T040,3a,,0,3a,1,1,0,0,0
52.361176000,4.950853000,41,T041,,,0,0,0,0,0,0,0
52.361071000,4.950847000,42,T042,4a,,0,4a,1,0,0,0,0
52.360989000,4.950587000,43,T043,4c,,0,4c,0,0,1,0,0
52.360867000,4.950500000,44,T044,3b,,0,3b,0,0,1,1,0
52.360735000,4.950672000,45,T045,,,0,0,0,0,0,0,0
52.360573000,4.950731000,46,T046,,,0,0,0,0,0,0,0
52.360758000,4.950999000,47,T047,4b,,0,4b,0,1,0,0,0
52.360656000,4.951097000,48,T048,4d,,0,4d,0,0,0,1,0
52.360519000,4.951298000,49,T049,3a,,0,3a,1,1,0,0,0
52.360360000,4.950822000,50,T050,,,0,0,0,0,0,0,0
52.359962000,4.950906000,51,T051,4c,,0,4c,0,0,1,0,0
52.360179000,4.951130000,52,T052,4a,,0,4a,1,0,0,0,0
52.360526000,4.951509000,53,T053,4e,,0,4e,0,0,0,0,1
52.360617000,4.951344000,54,T054,,,0,0,0,0,0,0,0
52.360725000,4.951459000,55,T055,,,0,0,0,0,0,0,0
52.360782000,4.951335000,56,T056,3b,,0,3b,0,0,1,1,0
52.360877000,4.951338000,57,T057,,,0,0,0,0,0,0,0
52.360943000,4.951352000,58,T058,4d,,0,4d,0,0,0,1,0
52.361052000,4.951479000,59,T059,4b,,0,4b,0,1,0,0,0
52.360812000,4.951297000,60,T060,,,0,0,0,0,0,0,0
52.359668000,4.951412000,82,T082,,,0,0,0,0,0,0,0
52.359620000,4.951198000,83,T083,4c,,0,4c,0,0,1,0,0
52.359477000,4.950839000,84,T084,3a,,0,3a,1,1,0,0,0
52.359298000,4.950448000,85,T085,,,0,0,0,0,0,0,0
52.359109000,4.950480000,86,T086,,,0,0,0,0,0,0,0
52.359068000,4.949984000,87,T087,4e,,0,4e,0,0,0,0,1
52.359004000,4.949694000,88,T088,4a,,0,4a,1,0,0,0,0
52.359180000,4.949031000,91,T091,,,0,0,0,0,0,0,0
52.359308000,4.948752000,92,T092,,,0,0,0,0,0,0,0
52.358851000,4.948383000,93,T093,,,0,0,0,0,0,0,0
52.358931000,4.948384000,94,T094,3b,,0,3b,0,0,1,1,0
52.358988000,4.948337000,95,T095,4e,,0,4e,0,0,0,0,1
52.359179000,4.948293000,96,T096,,,0,0,0,0,0,0,0
52.359295000,4.948294000,97,T097,,,0,0,0,0,0,0,0
52.359362000,4.948459000,98,T098,4b,,0,4b,0,1,0,0,0
52.358363000,4.950628000,117,T117,,,0,0,0,0,0,0,0
52.358367000,4.950869000,118,T118,,,0,0,0,0,0,0,0
52.358369000,4.951124000,119,T119,3a,,0,3a,1,1,0,0,0
52.358369000,4.951256000,120,T120,,,0,0,0,0,0,0,0
52.358385000,4.951331000,121,T121,4a,,0,4a,1,0,0,0,0
52.358464000,4.951393000,122,T122,4d,,0,4d,0,0,0,1,0
52.358422000,4.951437000,123,T123,4e,,0,4e,0,0,0,0,1
52.358437000,4.951674000,124,T124,3b,,0,3b,0,0,1,1,0
52.358505000,4.951726000,125,T125,,,0,0,0,0,0,0,0
52.358480000,4.952014000,126,T126,4c,,0,4c,0,0,1,0,0
